pair,count,sum,mean,std
"('UNH', 'AMGN')",3,1336.613932492181,445.5379774973937,490.157952640385
"('LMT', 'MMM')",5,1160.0778059984364,232.01556119968728,285.41021701508214
"('UNH', 'ABBV')",3,1130.1524559750105,376.7174853250035,423.11310224041983
"('UNH', 'ABT')",3,1111.031541407599,370.3438471358663,346.06920393163375
"('UNH', 'PFE')",2,1045.088974383667,522.5444871918335,204.39299814469322
"('UNH', 'TMO')",3,979.5683162837154,326.5227720945718,310.1239987311617
"('UNH', 'LLY')",1,747.4619486250643,747.4619486250643,
"('LMT', 'RTX')",2,744.4642099109936,372.2321049554968,297.07499517197436
"('UNH', 'MRK')",1,731.9028313012564,731.9028313012564,
"('UNH', 'BMY')",1,665.22634547257,665.22634547257,
"('GOOGL', 'ORCL')",3,647.490756781382,215.83025226046064,399.5288430389967
"('GOOGL', 'AVGO')",1,585.1889796914488,585.1889796914488,
"('MSFT', 'META')",2,452.5977485354347,226.29887426771734,65.19665166851529
"('AMZN', 'NKE')",2,394.22841555864363,197.11420777932182,183.61773588214166
"('MSFT', 'NVDA')",2,320.4376966994109,160.21884834970544,179.3649734335156
"('LOW', 'F')",3,277.09158617505494,92.36386205835164,109.71984536453806
"('XOM', 'MPC')",3,250.9756258595692,83.65854195318973,20.823016281141904
"('SBUX', 'TJX')",1,214.83271310132506,214.83271310132506,
"('CAT', 'DE')",2,154.75320847309808,77.37660423654904,157.91242337120116
"('BA', 'MMM')",1,153.37805379903767,153.37805379903767,
"('JNJ', 'ABBV')",4,117.45152555646374,29.362881389115934,42.759268616300076
"('NKE', 'TJX')",1,108.3278461227842,108.3278461227842,
"('ABBV', 'ABT')",1,100.38239823845592,100.38239823845592,
"('META', 'ADBE')",1,90.81178161692809,90.81178161692809,
"('HD', 'TGT')",1,89.18035757118722,89.18035757118722,
"('CAT', 'UPS')",1,86.71754890960062,86.71754890960062,
"('SCHW', 'AXP')",1,80.04778187834688,80.04778187834688,
"('CVX', 'HAL')",1,79.53900954293563,79.53900954293563,
"('MSFT', 'ADBE')",1,79.28714445695468,79.28714445695468,
"('COP', 'VLO')",1,77.13531817122447,77.13531817122447,
"('GOOGL', 'INTC')",1,70.8609957503688,70.8609957503688,
"('JNJ', 'TMO')",2,67.2287808617184,33.6143904308592,13.478668293551463
"('WFC', 'SCHW')",2,66.62938215614021,33.314691078070105,20.22978479953424
"('MCD', 'SBUX')",3,66.21367189354186,22.07122396451395,94.85552339082692
"('JNJ', 'BMY')",2,64.94023068470779,32.47011534235389,23.691133168081233
"('CAT', 'GE')",2,63.73643215919974,31.86821607959987,10.038816859586342
"('ABT', 'AMGN')",1,59.946727960951634,59.946727960951634,
"('GS', 'AXP')",1,58.615608923894825,58.615608923894825,
"('CVX', 'EOG')",2,57.58194412058891,28.790972060294454,79.29731291567523
"('AXP', 'USB')",1,57.050926412339436,57.050926412339436,
"('NKE', 'TGT')",2,56.751152375426244,28.375576187713122,43.82808684284293
"('BA', 'LMT')",1,56.41393101727806,56.41393101727806,
"('AMZN', 'TGT')",2,55.691016995106814,27.845508497553407,1.720430465396995
"('CVX', 'MPC')",1,54.26581943571532,54.26581943571532,
"('ABT', 'BMY')",2,53.687718689349914,26.843859344674957,33.567660740699424
"('EOG', 'HAL')",1,52.25674545162443,52.25674545162443,
"('MS', 'USB')",1,52.04047906772446,52.04047906772446,
"('CVX', 'PSX')",1,50.98997212778738,50.98997212778738,
"('HD', 'MCD')",1,50.38293384642125,50.38293384642125,
"('PFE', 'ABT')",3,46.96049872282239,15.65349957427413,33.830086577882255
"('ABT', 'LLY')",1,46.79310948503951,46.79310948503951,
"('HON', 'GE')",1,46.187407849406235,46.187407849406235,
"('JNJ', 'AMGN')",2,41.09838229721374,20.54919114860687,59.40828732135436
"('BKR', 'HAL')",2,39.45189113389364,19.72594556694682,6.0731644304925245
"('XOM', 'VLO')",1,28.929158762925795,28.929158762925795,
"('JNJ', 'LLY')",6,28.717942304386646,4.786323717397774,105.13860603117732
"('WFC', 'AXP')",2,27.50414756667349,13.752073783336744,26.968559671628736
"('JPM', 'BAC')",1,25.58124366218854,25.58124366218854,
"('SCHW', 'BK')",1,24.423862409715937,24.423862409715937,
"('AAPL', 'GOOGL')",1,23.859682137158586,23.859682137158586,
"('PFE', 'TMO')",3,22.949608817577882,7.649869605859294,19.158953609122044
"('UNP', 'UPS')",3,22.214321892013125,7.404773964004375,34.42538693351069
"('HON', 'BA')",1,21.519958614738407,21.519958614738407,
"('SLB', 'VLO')",1,20.7698526993222,20.7698526993222,
"('GS', 'USB')",1,19.836206382379828,19.836206382379828,
"('PFE', 'AMGN')",1,18.569126204967755,18.569126204967755,
"('DE', 'UPS')",1,16.841457538612218,16.841457538612218,
"('JNJ', 'MRK')",1,16.782378583357783,16.782378583357783,
"('SLB', 'MPC')",1,14.315549547352592,14.315549547352592,
"('PFE', 'ABBV')",2,13.470249957966635,6.735124978983317,8.271949964248783
"('RTX', 'MMM')",1,13.459059948392913,13.459059948392913,
"('BK', 'AXP')",1,11.233704069694006,11.233704069694006,
"('SBUX', 'GM')",1,11.061956392395981,11.061956392395981,
"('XOM', 'EOG')",1,11.037682584967172,11.037682584967172,
"('TJX', 'GM')",3,10.909578627621528,3.636526209207176,113.95930720011239
"('EOG', 'VLO')",1,10.248310301142162,10.248310301142162,
"('XOM', 'SLB')",1,9.97811819564198,9.97811819564198,
"('NKE', 'LOW')",1,9.23767325396527,9.23767325396527,
"('AVGO', 'INTC')",1,7.570028235621201,7.570028235621201,
"('LOW', 'TGT')",1,7.27136601912229,7.27136601912229,
"('MRK', 'ABBV')",2,6.866610563403871,3.4333052817019354,29.675737450525755
"('AVGO', 'CSCO')",1,6.693608899412643,6.693608899412643,
"('WFC', 'GS')",2,6.216316059817807,3.1081580299089033,5.691383084512953
"('AVGO', 'ADBE')",1,4.909996097928074,4.909996097928074,
"('C', 'BK')",1,4.414855592334675,4.414855592334675,
"('WFC', 'MS')",1,3.1495499615573355,3.1495499615573355,
"('CAT', 'UNP')",1,3.0351997372671065,3.0351997372671065,
"('NVDA', 'GOOGL')",2,2.2947898912749904,1.1473949456374952,1.9669922095050005
"('JNJ', 'UNH')",2,2.0883237770987435,1.0441618885493718,45.86370491936276
"('LLY', 'AMGN')",1,-1.2343008866785432,-1.2343008866785432,
"('COP', 'SLB')",1,-2.470964435309263,-2.470964435309263,
"('AAPL', 'AVGO')",1,-3.2755184971420963,-3.2755184971420963,
"('CVX', 'VLO')",1,-3.7440725959119376,-3.7440725959119376,
"('GOOGL', 'ADBE')",1,-5.6201632123635825,-5.6201632123635825,
"('CVX', 'COP')",1,-6.24309006472194,-6.24309006472194,
"('MRK', 'BMY')",1,-6.40852695369551,-6.40852695369551,
"('C', 'AXP')",1,-6.4100216053020915,-6.4100216053020915,
"('BK', 'USB')",1,-10.383922724643963,-10.383922724643963,
"('BMY', 'AMGN')",1,-13.888452399510149,-13.888452399510149,
"('MCD', 'LOW')",1,-15.391755096842232,-15.391755096842232,
"('ORCL', 'AVGO')",5,-16.002875809983365,-3.200575161996673,37.2109980699275
"('JPM', 'SCHW')",1,-16.938990457801175,-16.938990457801175,
"('C', 'USB')",1,-17.59844475487972,-17.59844475487972,
"('COP', 'EOG')",4,-18.455573110408753,-4.613893277602188,15.045986856399951
"('BAC', 'SCHW')",1,-20.399131204383597,-20.399131204383597,
"('MRK', 'LLY')",1,-23.26913989328034,-23.26913989328034,
"('MRK', 'AMGN')",1,-23.605556009135285,-23.605556009135285,
"('BAC', 'BK')",2,-24.25185099126265,-12.125925495631325,28.848562848746106
"('LLY', 'TMO')",1,-25.898946911346684,-25.898946911346684,
"('UPS', 'RTX')",1,-27.94841463627494,-27.94841463627494,
"('MRK', 'TMO')",1,-31.181835150545304,-31.181835150545304,
"('AAPL', 'META')",1,-31.97070821147668,-31.97070821147668,
"('XOM', 'CVX')",2,-33.69482729261991,-16.847413646309956,32.57988158197619
"('MRK', 'ABT')",1,-35.398296639093985,-35.398296639093985,
"('JPM', 'AXP')",1,-38.590133374889085,-38.590133374889085,
"('ABT', 'TMO')",3,-45.179540449738,-15.059846816579332,49.6038992785758
"('EOG', 'SLB')",1,-47.42901756879682,-47.42901756879682,
"('PFE', 'LLY')",4,-53.04400669279835,-13.261001673199587,25.6459466546041
